J,Ct,efficiency
0.045356225,0.08954059,0.126541648
0.053475733,0.089759982,0.1480408
0.061595241,0.089665956,0.169331322
0.069714749,0.089485742,0.190349562
0.077834257,0.089329033,0.211281819
0.085953765,0.089203666,0.232357381
0.094073273,0.089235008,0.253874103
0.102192781,0.0894544,0.275810064
0.110312289,0.08954059,0.297265529
0.118431797,0.08890592,0.314526226
0.126551305,0.088192897,0.331487046
0.134670812,0.087558228,0.34851182
0.14279032,0.087001912,0.365536595
0.150909828,0.086516116,0.38259822
0.159029336,0.086093003,0.399988146
0.167148844,0.085646384,0.416719642
0.175268352,0.084847171,0.431045523
0.18338786,0.083883414,0.443516714
0.191507368,0.083374111,0.459339138
0.199626876,0.082723771,0.474016771
0.207746384,0.081940229,0.487933341
0.215865892,0.081164522,0.501549323
0.223985399,0.080286954,0.513905396
0.232104907,0.079401552,0.525666688
0.240224415,0.078727705,0.538105902
0.248343923,0.078030352,0.550129409
0.256463431,0.07705876,0.560835447
0.264582939,0.076228205,0.572571157
0.272702447,0.075225271,0.583085331
0.280821955,0.074379045,0.593855323
0.288941463,0.073430959,0.603589248
0.297060971,0.07252205,0.612894675
0.305180479,0.071487774,0.622355042
0.313299986,0.070610206,0.63159961
0.321419494,0.069873677,0.643068562
0.329539002,0.068761046,0.650097197
0.33765851,0.067891314,0.657733403
0.345778018,0.067037253,0.666539983
0.353897526,0.066034319,0.67418898
0.362017034,0.065101904,0.681927514
0.370136542,0.064098969,0.689211969
0.37825605,0.063174389,0.697238299
0.386375558,0.062155784,0.704887297
0.394495066,0.061082331,0.711992678
0.402614573,0.060157751,0.718541652
0.410734081,0.059178323,0.725128999
0.418853589,0.058089199,0.730475622
0.426973097,0.057141113,0.736237952
0.435092605,0.056075496,0.741008982
0.443212113,0.054892347,0.745773617
0.451331621,0.053811058,0.750461506
0.459451129,0.052659251,0.753729597
0.467570637,0.051468267,0.756697101
0.475690145,0.050269447,0.758845983
0.483809653,0.048882577,0.760272176
0.49192916,0.047777782,0.763137352
0.500048668,0.046516279,0.764390867
0.508168176,0.045035384,0.762836764
0.516287684,0.043444793,0.760892538
0.524407192,0.042238138,0.761007656
0.5325267,0.040733736,0.758961102
0.540646208,0.039354702,0.757925034
0.548765716,0.037764111,0.752412128
0.556885224,0.036377241,0.751069076
0.565004732,0.035280281,0.750953958
0.57312424,0.033744538,0.745703266
0.581243747,0.031997239,0.737050179
0.589363255,0.0303518,0.729535486
0.597482763,0.02896493,0.721330082
0.605602271,0.027374339,0.711826395
0.613721779,0.025893444,0.698555769
0.621841287,0.024161815,0.684133956
0.629960795,0.022547718,0.669271707
0.638080303,0.020996304,0.650773223
0.646199811,0.019272511,0.630190547
0.654319319,0.017752439,0.611207277
0.662438827,0.016318556,0.587521968
0.670189266,0.014520327,0.552311974
0.677939705,0.012863135,0.517919464
0.685690145,0.011193406,0.47962435
0.693440584,0.009376371,0.426332452
0.701560092,0.007676084,0.372253138
0.709310531,0.005884123,0.302701195
0.717060971,0.004181485,0.229322276
0.725180479,0.002340161,0.130653665
0.732930918,0.001005788,0.05348392